model_source,condition,sub_cond,item,test_name,test_definition,LLH_left,LLH_right,logOdds,test_passed
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,35,test_2,2|1>2|2,-1.5078125,-1.5078125,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,39,test_1,1|2>1|1,-1.84375,-1.6875,-0.15625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,39,test_2,2|1>2|2,-1.4921875,-1.75,0.2578125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,46,test_1,1|2>1|1,-1.640625,-1.640625,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,46,test_2,2|1>2|2,-1.625,-1.5625,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,1,test_1,1|1>1|2,-2.6875,-2.6875,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,1,test_2,2|2>2|1,-2.65625,-2.734375,0.078125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,2,test_1,1|1>1|2,-1.8203125,-1.703125,-0.1171875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,2,test_2,2|2>2|1,-1.90625,-2.09375,0.1875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,3,test_1,1|1>1|2,-1.5078125,-1.453125,-0.0546875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,3,test_2,2|2>2|1,-1.484375,-1.359375,-0.125,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,4,test_1,1|1>1|2,-2.375,-2.546875,0.171875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,4,test_2,2|2>2|1,-2.0625,-2.03125,-0.03125,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,6,test_1,1|1>1|2,-1.8046875,-1.7421875,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,6,test_2,2|2>2|1,-1.7109375,-1.84375,0.1328125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,8,test_1,1|1>1|2,-2.4375,-2.515625,0.078125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,8,test_2,2|2>2|1,-2.484375,-2.4375,-0.046875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,9,test_1,1|1>1|2,-1.8359375,-1.7734375,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,9,test_2,2|2>2|1,-1.3984375,-1.515625,0.1171875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,12,test_1,1|1>1|2,-2.0625,-1.9453125,-0.1171875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,12,test_2,2|2>2|1,-2.0625,-2.234375,0.171875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,13,test_1,1|1>1|2,-2.40625,-2.734375,0.328125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,13,test_2,2|2>2|1,-2.34375,-2.4375,0.09375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,14,test_1,1|1>1|2,-2.359375,-2.421875,0.0625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,14,test_2,2|2>2|1,-2.359375,-2.5,0.140625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,15,test_1,1|1>1|2,-1.546875,-1.5,-0.046875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,15,test_2,2|2>2|1,-1.7265625,-1.6875,-0.0390625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,16,test_1,1|1>1|2,-1.9140625,-1.7265625,-0.1875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,16,test_2,2|2>2|1,-1.65625,-1.6171875,-0.0390625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,17,test_1,1|1>1|2,-1.5703125,-1.6796875,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,17,test_2,2|2>2|1,-1.65625,-1.6171875,-0.0390625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,18,test_1,1|1>1|2,-2.296875,-2.28125,-0.015625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,18,test_2,2|2>2|1,-2.1875,-2.34375,0.15625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,19,test_1,1|1>1|2,-2.75,-2.65625,-0.09375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,19,test_2,2|2>2|1,-3.0,-2.921875,-0.078125,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,20,test_1,1|1>1|2,-2.984375,-3.09375,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,20,test_2,2|2>2|1,-2.78125,-2.671875,-0.109375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,21,test_1,1|1>1|2,-1.6484375,-1.7265625,0.078125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,21,test_2,2|2>2|1,-1.53125,-1.546875,0.015625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,22,test_1,1|1>1|2,-1.09375,-1.1328125,0.0390625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,22,test_2,2|2>2|1,-1.234375,-1.4453125,0.2109375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,24,test_1,1|1>1|2,-1.84375,-1.78125,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,24,test_2,2|2>2|1,-1.7890625,-1.8984375,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,25,test_1,1|1>1|2,-1.6953125,-1.671875,-0.0234375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,25,test_2,2|2>2|1,-1.3828125,-1.546875,0.1640625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,26,test_1,1|1>1|2,-1.9296875,-1.75,-0.1796875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,26,test_2,2|2>2|1,-1.9921875,-1.71875,-0.2734375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,27,test_1,1|1>1|2,-2.1875,-2.34375,0.15625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,27,test_2,2|2>2|1,-1.9765625,-1.7578125,-0.21875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,28,test_1,1|1>1|2,-2.5625,-2.75,0.1875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,28,test_2,2|2>2|1,-2.21875,-2.203125,-0.015625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,29,test_1,1|1>1|2,-1.546875,-1.7109375,0.1640625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,29,test_2,2|2>2|1,-1.9453125,-1.6640625,-0.28125,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,30,test_1,1|1>1|2,-1.8203125,-1.703125,-0.1171875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,30,test_2,2|2>2|1,-1.890625,-1.7890625,-0.1015625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,31,test_1,1|1>1|2,-2.90625,-2.953125,0.046875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,31,test_2,2|2>2|1,-2.265625,-2.453125,0.1875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,32,test_1,1|1>1|2,-2.90625,-2.71875,-0.1875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,32,test_2,2|2>2|1,-2.15625,-2.359375,0.203125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,33,test_1,1|1>1|2,-2.140625,-2.3125,0.171875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,33,test_2,2|2>2|1,-2.125,-2.328125,0.203125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,34,test_1,1|1>1|2,-1.6171875,-1.78125,0.1640625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,34,test_2,2|2>2|1,-2.25,-2.1875,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,35,test_1,1|1>1|2,-2.96875,-3.234375,0.265625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,35,test_2,2|2>2|1,-1.6171875,-1.8046875,0.1875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,36,test_1,1|1>1|2,-1.546875,-1.953125,0.40625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,36,test_2,2|2>2|1,-1.7734375,-1.8671875,0.09375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,37,test_1,1|1>1|2,-1.6953125,-1.65625,-0.0390625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,37,test_2,2|2>2|1,-1.7578125,-1.7890625,0.03125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,39,test_1,1|1>1|2,-2.515625,-2.4375,-0.078125,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,39,test_2,2|2>2|1,-2.34375,-2.125,-0.21875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,40,test_1,1|1>1|2,-1.515625,-1.46875,-0.046875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,40,test_2,2|2>2|1,-1.46875,-1.671875,0.203125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,41,test_1,1|1>1|2,-2.46875,-2.640625,0.171875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,41,test_2,2|2>2|1,-2.265625,-2.34375,0.078125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,42,test_1,1|1>1|2,-1.453125,-1.984375,0.53125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,42,test_2,2|2>2|1,-1.5,-1.5390625,0.0390625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,43,test_1,1|1>1|2,-2.0625,-2.1875,0.125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,43,test_2,2|2>2|1,-2.5,-2.15625,-0.34375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,44,test_1,1|1>1|2,-2.109375,-2.4375,0.328125,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,44,test_2,2|2>2|1,-3.171875,-2.796875,-0.375,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,45,test_1,1|1>1|2,-1.7890625,-1.8515625,0.0625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,45,test_2,2|2>2|1,-1.921875,-1.9765625,0.0546875,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,46,test_1,1|1>1|2,-1.5625,-1.5859375,0.0234375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,46,test_2,2|2>2|1,-2.171875,-2.15625,-0.015625,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,49,test_1,1|1>1|2,-1.359375,-1.796875,0.4375,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,49,test_2,2|2>2|1,-1.9375,-1.890625,-0.046875,False
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,50,test_1,1|1>1|2,-1.7890625,-2.015625,0.2265625,True
Qwen/Qwen2.5-0.5B-Instruct,events,events_narr_explicit,50,test_2,2|2>2|1,-1.5703125,-1.515625,-0.0546875,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,1,test_1,1|1>1|2,-2.734375,-2.09375,-0.640625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,1,test_2,1|2>1|3,-2.09375,-2.734375,0.640625,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,1,test_3,1|1>1|3,-2.734375,-2.734375,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,2,test_1,1|1>1|2,-2.0625,-2.171875,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,2,test_2,1|2>1|3,-2.171875,-2.171875,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,2,test_3,1|1>1|3,-2.0625,-2.171875,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_joint_and,3,test_1,1|1>1|2,-2.171875,-1.7734375,-0.3984375,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_joint_and,3,test_2,1|2>1|3,-1.7734375,-2.28125,0.5078125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_joint_and,3,test_3,1|1>1|3,-2.171875,-2.28125,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,4,test_1,1|1>1|2,-2.078125,-1.8359375,-0.2421875,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,4,test_2,1|2>1|3,-1.8359375,-1.7109375,-0.125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,4,test_3,1|1>1|3,-2.078125,-1.7109375,-0.3671875,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_amalg_with,5,test_1,1|1>1|2,-2.125,-2.0625,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_amalg_with,5,test_2,1|2>1|3,-2.0625,-1.734375,-0.328125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_amalg_with,5,test_3,1|1>1|3,-2.125,-1.734375,-0.390625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,1,test_1,1|1>1|2,-2.125,-1.9140625,-0.2109375,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,1,test_2,1|1>1|3,-2.125,-2.171875,0.046875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,1,test_3,2|1>2|2,-2.015625,-2.1875,0.171875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,2,test_1,1|1>1|2,-2.59375,-2.171875,-0.421875,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,2,test_2,1|1>1|3,-2.59375,-2.703125,0.109375,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,2,test_3,2|1>2|2,-2.1875,-2.65625,0.46875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,4,test_1,1|1>1|2,-1.5703125,-1.6171875,0.046875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,4,test_2,1|1>1|3,-1.5703125,-1.6875,0.1171875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,4,test_3,2|1>2|2,-1.8046875,-1.6015625,-0.203125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,21,test_1,1|1>1|2,-2.765625,-3.046875,0.28125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,21,test_2,1|1>1|3,-2.765625,-3.734375,0.96875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,21,test_3,2|1>2|2,-2.984375,-3.0,0.015625,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,21,test_4,2|1>2|3,-2.984375,-3.96875,0.984375,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,30,test_1,1|1>1|2,-2.8125,-2.734375,-0.078125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,30,test_2,1|1>1|3,-2.8125,-3.890625,1.078125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,30,test_3,2|1>2|2,-3.234375,-2.859375,-0.375,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,30,test_4,2|1>2|3,-3.234375,-4.53125,1.296875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,41,test_1,1|1>1|2,-3.046875,-3.5,0.453125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,41,test_2,1|1>1|3,-3.046875,-4.59375,1.546875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,41,test_3,2|1>2|2,-4.28125,-3.828125,-0.453125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,41,test_4,2|1>2|3,-4.28125,-6.0625,1.78125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,47,test_1,1|1>1|2,-2.515625,-2.65625,0.140625,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,47,test_2,1|1>1|3,-2.515625,-3.421875,0.90625,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,47,test_3,2|1>2|2,-3.15625,-2.8125,-0.34375,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_to,47,test_4,2|1>2|3,-3.15625,-4.34375,1.1875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,3,test_1,1|1>1|2,-4.4375,-4.4375,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,3,test_2,1|1>1|3,-4.4375,-4.46875,0.03125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,3,test_3,2|1>2|2,-4.4375,-4.4375,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,3,test_4,2|1>2|3,-4.4375,-4.5,0.0625,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,9,test_1,1|1>1|2,-3.796875,-3.625,-0.171875,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,9,test_2,1|1>1|3,-3.796875,-3.65625,-0.140625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,9,test_3,2|1>2|2,-3.828125,-3.796875,-0.03125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,9,test_4,2|1>2|3,-3.828125,-3.625,-0.203125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,11,test_1,1|1>1|2,-4.21875,-4.25,0.03125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,11,test_2,1|1>1|3,-4.21875,-4.1875,-0.03125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,11,test_3,2|1>2|2,-4.1875,-4.1875,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,11,test_4,2|1>2|3,-4.1875,-4.0625,-0.125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,17,test_1,1|1>1|2,-5.9375,-5.8125,-0.125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,17,test_2,1|1>1|3,-5.9375,-5.875,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,17,test_3,2|1>2|2,-6.09375,-5.9375,-0.15625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,17,test_4,2|1>2|3,-6.09375,-5.875,-0.21875,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,18,test_1,1|1>1|2,-3.578125,-3.296875,-0.28125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,18,test_2,1|1>1|3,-3.578125,-3.328125,-0.25,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,18,test_3,2|1>2|2,-3.578125,-3.296875,-0.28125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,18,test_4,2|1>2|3,-3.578125,-3.328125,-0.25,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,19,test_1,1|1>1|2,-3.5,-3.578125,0.078125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,19,test_2,1|1>1|3,-3.5,-3.46875,-0.03125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,19,test_3,2|1>2|2,-3.5,-3.546875,0.046875,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,19,test_4,2|1>2|3,-3.5,-3.46875,-0.03125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,20,test_1,1|1>1|2,-3.71875,-3.65625,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,20,test_2,1|1>1|3,-3.71875,-3.625,-0.09375,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,20,test_3,2|1>2|2,-3.796875,-3.71875,-0.078125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,20,test_4,2|1>2|3,-3.796875,-3.703125,-0.09375,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,21,test_1,1|1>1|2,-6.53125,-6.21875,-0.3125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,21,test_2,1|1>1|3,-6.53125,-6.65625,0.125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,21,test_3,2|1>2|2,-6.53125,-6.21875,-0.3125,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,21,test_4,2|1>2|3,-6.53125,-6.65625,0.125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,22,test_1,1|1>1|2,-4.65625,-4.0,-0.65625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,22,test_2,1|1>1|3,-4.65625,-4.75,0.09375,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,22,test_3,2|1>2|2,-4.46875,-4.0625,-0.40625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,22,test_4,2|1>2|3,-4.46875,-4.5,0.03125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,25,test_1,1|1>1|2,-3.15625,-3.109375,-0.046875,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,25,test_2,1|1>1|3,-3.15625,-3.15625,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,25,test_3,2|1>2|2,-3.15625,-3.15625,0.0,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,25,test_4,2|1>2|3,-3.15625,-3.21875,0.0625,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,1,test_1,1|1>1|2,-2.90625,-3.5,0.59375,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,1,test_2,1|1>1|3,-2.90625,-4.15625,1.25,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,1,test_3,2|1>2|2,-2.90625,-3.109375,0.203125,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_ditrans_dobj,1,test_4,2|1>2|3,-2.90625,-3.3125,0.40625,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,1,test_1,1|1>1|2,-3.640625,-3.390625,-0.25,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,1,test_2,1|1>1|3,-3.640625,-3.734375,0.09375,True
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,1,test_3,2|1>2|2,-3.671875,-3.578125,-0.09375,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,1,test_4,2|1>2|3,-3.671875,-3.609375,-0.0625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,2,test_1,1|1>1|2,-4.0,-3.90625,-0.09375,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,2,test_2,1|1>1|3,-4.0,-3.84375,-0.15625,False
Qwen/Qwen2.5-0.5B-Instruct,split_reference,split-ref_percep_with,2,test_3,2|1>2|2,-3.71875,-4.09375,0.375,True
