condition,sub_cond,source,item,n_input,n_continuations,n_tests,input_1,input_2,input_3,input_4,context_prompt,continuation_1,continuation_2,continuation_3,continuation_4,test_1,test_2,test_3,test_4
events,events_narr_explicit,Claude Sonnet 4.5,46,2,2,2,"After Blake calibrated the device, he ran the test. Morgan saw him do it.","After Blake ran the test, he calibrated the device. Morgan saw him do it.",N/A,N/A,,Morgan didn't see Blake calibrate the device.,Morgan didn't see Blake run the test.,N/A,N/A,1|2>1|1,2|1>2|2,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,1,2,1,2,"Marcus called the client, and then he checked his email. Sarah noticed it happen.","Marcus checked his email, and then he called the client. Sarah noticed it happen.",N/A,N/A,,Sarah didn't notice Marcus call the client.,Sarah didn't notice Marcus check his email.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,2,2,1,2,"Sophie closed the book, and then she stood up. Daniel saw her do it.","Sophie stood up, and then she closed the book. Daniel saw her do it.",N/A,N/A,,Daniel didn't see Sophie close the book.,Daniel didn't see Sophie stand up.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,3,2,1,2,"After James locked the door, he turned off the lights. Rachel saw him do it.","After James turned off the lights, he locked the door. Rachel saw him do it.",N/A,N/A,,Rachel didn't see James lock the door.,Rachel didn't see James turn off the lights.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,4,2,1,2,"Maya opened the window, after which she watered the plants. Kevin witnessed it.","Maya watered the plants, after which she opened the window. Kevin witnessed it.",N/A,N/A,,Kevin didn't witness Maya open the window.,Kevin didn't witness Maya water the plants.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,6,2,1,2,"After Victor closed the laptop, he grabbed his keys. Jennifer saw him do it.","After Victor grabbed his keys, he closed the laptop. Jennifer saw him do it.",N/A,N/A,,Jennifer didn't see Victor close the laptop.,Jennifer didn't see Victor grab his keys.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,8,2,1,2,"Benjamin adjusted his chair, after which he opened his notebook. Emma saw him do it.","Benjamin opened his notebook, after which he adjusted his chair. Emma saw him do it.",N/A,N/A,,Emma didn't see Benjamin adjust his chair.,Emma didn't see Benjamin open his notebook.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,9,2,1,2,"After Grace checked her phone, she put on her jacket. Andrew noticed it.","After Grace put on her jacket, she checked her phone. Andrew noticed it.",N/A,N/A,,Andrew didn't notice Grace check her phone.,Andrew didn't notice Grace put on her jacket.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,12,2,1,2,"After Samantha closed the drawer, she adjusted the mirror. Brandon noticed her do it.","After Samantha adjusted the mirror, she closed the drawer. Brandon noticed her do it.",N/A,N/A,,Brandon didn't notice Samantha close the drawer.,Brandon didn't notice Samantha adjust the mirror.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,13,2,1,2,"Eric made coffee, and then he checked the calendar. Rebecca saw him do it.","Eric checked the calendar, and then he made coffee. Rebecca saw him do it.",N/A,N/A,,Rebecca didn't see Eric make coffee.,Rebecca didn't see Eric check the calendar.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,14,2,1,2,"Lauren opened her bag, after which she glanced at the clock. Matthew witnessed it.","Lauren glanced at the clock, after which she opened her bag. Matthew witnessed it.",N/A,N/A,,Matthew didn't witness Lauren open her bag.,Matthew didn't witness Lauren glance at the clock.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,15,2,1,2,"After Tyler moved the chair, he opened the curtain. Melissa saw him do it.","After Tyler opened the curtain, he moved the chair. Melissa saw him do it.",N/A,N/A,,Melissa didn't see Tyler move the chair.,Melissa didn't see Tyler open the curtain.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,16,2,1,2,"Chloe stretched her arms, and then she took a sip of water. Jacob noticed her do it.","Chloe took a sip of water, and then she stretched her arms. Jacob noticed her do it.",N/A,N/A,,Jacob didn't notice Chloe stretch her arms.,Jacob didn't notice Chloe take a sip of water.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,17,2,1,2,"Austin picked up his pencil, after which he looked at his notes. Natalie saw him do it.","Austin looked at his notes, after which he picked up his pencil. Natalie saw him do it.",N/A,N/A,,Natalie didn't see Austin pick up his pencil.,Natalie didn't see Austin look at his notes.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,18,2,1,2,"After Madison set down her cup, she folded her napkin. Connor witnessed it.","After Madison folded her napkin, she set down her cup. Connor witnessed it.",N/A,N/A,,Connor didn't witness Madison set down her cup.,Connor didn't witness Madison fold her napkin.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,19,2,1,2,"Jordan checked the weather, and then he browsed the news. Alexis noticed him do it.","Jordan browsed the news, and then he checked the weather. Alexis noticed him do it.",N/A,N/A,,Alexis didn't notice Jordan check the weather.,Alexis didn't notice Jordan browse the news.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,20,2,1,2,"Ethan adjusted the volume, after which he changed the channel. Abigail saw him do it.","Ethan changed the channel, after which he adjusted the volume. Abigail saw him do it.",N/A,N/A,,Abigail didn't see Ethan adjust the volume.,Abigail didn't see Ethan change the channel.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,21,2,1,2,"After Zoe straightened her collar, she brushed her hair. Cameron noticed her do it.","After Zoe brushed her hair, she straightened her collar. Cameron noticed her do it.",N/A,N/A,,Cameron didn't notice Zoe straighten her collar.,Cameron didn't notice Zoe brush her hair.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,22,2,1,2,"Quinn wrote in her journal, and then she sketched in her notebook. Parker saw her do it.","Quinn sketched in her notebook, and then she wrote in her journal. Parker saw her do it.",N/A,N/A,,Parker didn't see Quinn write in her journal.,Parker didn't see Quinn sketch in her notebook.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,24,2,1,2,"After Lucas yawned, he rubbed his eyes. Sophia noticed him do it.","After Lucas rubbed his eyes, he yawned. Sophia noticed him do it.",N/A,N/A,,Sophia didn't notice Lucas yawn.,Sophia didn't notice Lucas rub his eyes.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,25,2,1,2,"Aria hummed a tune, and then she tapped her fingers. Julian heard her do it.","Aria tapped her fingers, and then she hummed a tune. Julian heard her do it.",N/A,N/A,,Julian didn't hear Aria hum a tune.,Julian didn't hear Aria tap her fingers.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,26,2,1,2,"Penelope cleared her throat, after which she shifted in her seat. Sebastian heard her do it.","Penelope shifted in her seat, after which she cleared her throat. Sebastian heard her do it.",N/A,N/A,,Sebastian didn't hear Penelope clear her throat.,Sebastian didn't hear Penelope shift in her seat.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,27,2,1,2,"After Lily organized her desk, she rearranged the bookshelf. Owen saw her do it.","After Lily rearranged the bookshelf, she organized her desk. Owen saw her do it.",N/A,N/A,,Owen didn't see Lily organize her desk.,Owen didn't see Lily rearrange the bookshelf.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,28,2,1,2,"Wyatt nodded thoughtfully, and then he crossed his arms. Nora noticed him do it.","Wyatt crossed his arms, and then he nodded thoughtfully. Nora noticed him do it.",N/A,N/A,,Nora didn't notice Wyatt nod thoughtfully.,Nora didn't notice Wyatt cross his arms.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,29,2,1,2,"Isaac looked at his watch, after which he checked his wallet. Violet saw him do it.","Isaac checked his wallet, after which he looked at his watch. Violet saw him do it.",N/A,N/A,,Violet didn't see Isaac look at his watch.,Violet didn't see Isaac check his wallet.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,30,2,1,2,"After Stella cleaned her glasses, she adjusted her scarf. Felix noticed her do it.","After Stella adjusted her scarf, she cleaned her glasses. Felix noticed her do it.",N/A,N/A,,Felix didn't notice Stella clean her glasses.,Felix didn't notice Stella adjust her scarf.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,31,2,1,2,"Autumn smiled briefly, and then she looked down. Jasper saw her do it.","Autumn looked down, and then she smiled briefly. Jasper saw her do it.",N/A,N/A,,Jasper didn't see Autumn smile briefly.,Jasper didn't see Autumn look down.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,32,2,1,2,"Maverick whistled softly, after which he hummed a melody. Sienna heard him do it.","Maverick hummed a melody, after which he whistled softly. Sienna heard him do it.",N/A,N/A,,Sienna didn't hear Maverick whistle softly.,Sienna didn't hear Maverick hum a melody.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,33,2,1,2,"After Phoenix leaned back, he folded his hands. Sage noticed him do it.","After Phoenix folded his hands, he leaned back. Sage noticed him do it.",N/A,N/A,,Sage didn't notice Phoenix lean back.,Sage didn't notice Phoenix fold his hands.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,34,2,1,2,"Quinn traced her finger along the page, and then she underlined a word. Kai saw her do it.","Quinn underlined a word, and then she traced her finger along the page. Kai saw her do it.",N/A,N/A,,Kai didn't see Quinn trace her finger along the page.,Kai didn't see Quinn underline a word.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,35,2,1,2,"Blair blinked slowly, after which she tilted her head. Reese noticed her do it.","Blair tilted her head, after which she blinked slowly. Reese noticed her do it.",N/A,N/A,,Reese didn't notice Blair blink slowly.,Reese didn't notice Blair tilt her head.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,36,2,1,2,"After Dakota tapped the screen, she scrolled through the page. Skylar saw her do it.","After Dakota scrolled through the page, she tapped the screen. Skylar saw her do it.",N/A,N/A,,Skylar didn't see Dakota tap the screen.,Skylar didn't see Dakota scroll through the page.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,37,2,1,2,"Drew circled a date, and then he starred another entry. Taylor noticed him do it.","Drew starred another entry, and then he circled a date. Taylor noticed him do it.",N/A,N/A,,Taylor didn't notice Drew circle a date.,Taylor didn't notice Drew star another entry.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,39,2,1,2,"After Finley buttoned his coat, he adjusted his collar. Indigo noticed him do it.","After Finley adjusted his collar, he buttoned his coat. Indigo noticed him do it.",N/A,N/A,,Indigo didn't notice Finley button his coat.,Indigo didn't notice Finley adjust his collar.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,40,2,1,2,"Wren rotated the object, and then she examined the label. Sage saw her do it.","Wren examined the label, and then she rotated the object. Sage saw her do it.",N/A,N/A,,Sage didn't see Wren rotate the object.,Sage didn't see Wren examine the label.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,41,2,1,2,"Adrian paused the music, after which he lowered the blinds. Skyler witnessed him do it.","Adrian lowered the blinds, after which he paused the music. Skyler witnessed him do it.",N/A,N/A,,Skyler didn't witness Adrian pause the music.,Skyler didn't witness Adrian lower the blinds.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,42,2,1,2,"After Blake consulted the map, he checked the compass. Morgan saw him do it.","After Blake checked the compass, he consulted the map. Morgan saw him do it.",N/A,N/A,,Morgan didn't see Blake consult the map.,Morgan didn't see Blake check the compass.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,43,2,1,2,"Ash sorted the files, and then he labeled the folders. Jordan noticed him do it.","Ash labeled the folders, and then he sorted the files. Jordan noticed him do it.",N/A,N/A,,Jordan didn't notice Ash sort the files.,Jordan didn't notice Ash label the folders.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,44,2,1,2,"Ellis marked the box, after which she initialed the form. Lennon saw her do it.","Ellis initialed the form, after which she marked the box. Lennon saw her do it.",N/A,N/A,,Lennon didn't see Ellis mark the box.,Lennon didn't see Ellis initial the form.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,45,2,1,2,"After Rowan wiped the table, he straightened the cushions. Avery noticed him do it.","After Rowan straightened the cushions, he wiped the table. Avery noticed him do it.",N/A,N/A,,Avery didn't notice Rowan wipe the table.,Avery didn't notice Rowan straighten the cushions.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,46,2,1,2,"Sutton measured the distance, and then she noted the time. Quinn saw her do it.","Sutton noted the time, and then she measured the distance. Quinn saw her do it.",N/A,N/A,,Quinn didn't see Sutton measure the distance.,Quinn didn't see Sutton note the time.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,49,2,1,2,"Monroe trimmed the edges, and then she smoothed the surface. Casey noticed her do it.","Monroe smoothed the surface, and then she trimmed the edges. Casey noticed her do it.",N/A,N/A,,Casey didn't notice Monroe trim the edges.,Casey didn't notice Monroe smooth the surface.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
events,events_narr_explicit,Claude Sonnet 4.5,50,2,1,2,"Sage positioned the camera, after which she adjusted the lighting. Quinn saw her do it.","Sage adjusted the lighting, after which she positioned the camera. Quinn saw her do it.",N/A,N/A,,Quinn didn't see Sage position the camera.,Quinn didn't see Sage adjust the lighting.,N/A,N/A,1|1>1|2,2|2>2|1,N/A,N/A
split_reference,split-ref_ditrans_to,AnaGym Team,1,3,1,3,Alex introduced Bo to Charlie. They share a love of hockey.,Bo introduced Alex to Charlie. They share a love of hockey.,Alex is friends with Bo. They share a love of hockey.,NA,The one who doesn't like hockey is ...,"Alex doesn’t like hockey, though.",NA,NA,NA,1|1>1|2,1|2>1|3,1|1>1|3,NA
split_reference,split-ref_percep_with,AnaGym Team,2,3,1,3,Trudy saw Meredith with Julie at the park. They were both eating ice cream.,Meredith saw Julie with Trudy at the park. They were both eating ice cream.,Trudy saw Meredith at the park. They were both eating ice cream.,NA,The one who wasn’t eating ice cream is …,"Trudy doesn't eat ice cream, though.",NA,NA,NA,1|1>1|2,1|2>1|3,1|1>1|3,NA
split_reference,split-ref_joint_and,AnaGym Team,3,3,1,3,Josie had lunch with Ali and Sam. They both ordered a salad.,Ali had lunch with Sam and Josie. They both ordered a salad.,Josie had lunch with Ali. They both ordered a salad.,NA,The one who didn’t order salad is …,"Josie didn't order a salad, though.",NA,NA,NA,1|1>1|2,1|2>1|3,1|1>1|3,NA
split_reference,split-ref_ditrans_dobj,AnaGym Team,4,3,1,3,The CEO assigned Margaret an assistant. They both went to Yale.,Margaret assigned the CEO an assistant. They both went to Yale.,The CEO hired Margaret. They both went to Yale.,NA,The one who didn’t go to Yale is …,"The CEO didn't go to Yale, though.",NA,NA,NA,1|1>1|2,1|2>1|3,1|1>1|3,NA
split_reference,split-ref_amalg_with,AnaGym Team,5,3,1,3,Seth confused Lilly with Alexis. They both have red hair.,Lilly confused Seth with Alexis. They both have red hair.,Seth has something in common with Lilly. They both have red hair.,NA,The one who doesn’t have red hair is …,"Seth doesn't have red hair, though.",NA,NA,NA,1|1>1|2,1|2>1|3,1|1>1|3,NA
split_reference,split-ref_ditrans_to,Claude Sonnet 4.5,1,3,2,3,Marcus introduced Elena to David at the conference. They both speak fluent German.,Elena introduced Marcus to David at the conference. They both speak fluent German.,Marcus knows Elena well. They both speak fluent German.,N/A,The one who doesn't speak German is ...,"Marcus doesn't speak German, though.","Elena doesn't speak German, though.",N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_to,Claude Sonnet 4.5,2,3,2,3,Sarah recommended Thomas to the hiring manager. They both have MBA degrees.,Thomas recommended Sarah to the hiring manager. They both have MBA degrees.,Sarah endorsed Thomas for the position. They both have MBA degrees.,N/A,The one who doesn't have an MBA is ...,"Sarah doesn't have an MBA, though.","Thomas doesn't have an MBA, though.",N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_to,Claude Sonnet 4.5,4,3,2,3,Dr. Chen referred Patricia to the specialist. They both trained in cardiology.,Patricia referred Dr. Chen to the specialist. They both trained in cardiology.,Dr. Chen consulted with Patricia. They both trained in cardiology.,N/A,The one who didn't train in cardiology is ...,"Dr. Chen didn't train in cardiology, though.","Patricia didn't train in cardiology, though.",N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_to,GPT-5.2 Thinking,21,3,2,4,Adel presented Dalia as a designer to Emma on Tuesday. They both seemed alert.,Dalia presented Adel as a designer to Emma on Tuesday. They both seemed alert.,Adel presented Dalia as a designer on Tuesday. They both seemed alert.,N/A,N/A,He later asked Emma to contact Dalia.,She later asked Emma to contact Adel.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_to,GPT-5.2 Thinking,30,3,2,4,Nina presented Rami as a musician to Huda at the station. They both seemed distracted.,Rami presented Nina as a musician to Huda at the station. They both seemed distracted.,Nina presented Rami as a musician at the station. They both seemed distracted.,N/A,N/A,She later asked Huda to contact Rami.,He later asked Huda to contact Nina.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_to,GPT-5.2 Thinking,41,3,2,4,Emma presented Rami as a musician to Jonas after the meeting. They both looked confident.,Rami presented Emma as a musician to Jonas after the meeting. They both looked confident.,Emma presented Rami as a musician after the meeting. They both looked confident.,N/A,N/A,She later asked Jonas to contact Rami.,He later asked Jonas to contact Emma.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_to,GPT-5.2 Thinking,47,3,2,4,Noah introduced Jana as a neighbor to Lea outside the office. They both looked amused.,Jana introduced Noah as a neighbor to Lea outside the office. They both looked amused.,Noah introduced Jana as a neighbor outside the office. They both looked amused.,N/A,N/A,He later asked Lea to contact Jana.,She later asked Lea to contact Noah.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,3,3,2,4,The manager assigned Jennifer a new assistant. They both worked long hours.,Jennifer assigned the manager a new assistant. They both worked long hours.,The manager hired Jennifer. They both worked long hours.,N/A,N/A,She maintained strict nine-to-five hours.,He maintained strict nine-to-five hours.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,9,3,2,4,The captain assigned Emma a senior officer. They both had military backgrounds.,Emma assigned the captain a senior officer. They both had military backgrounds.,The captain promoted Emma. They both had military backgrounds.,N/A,N/A,He came from civilian life.,She came from civilian life.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,11,3,2,4,The architect showed Jordan the new designer. They both sketched concepts by hand.,Jordan showed the architect the new designer. They both sketched concepts by hand.,The architect introduced Jordan. They both sketched concepts by hand.,N/A,N/A,She used only digital tools.,He used only digital tools.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,17,3,2,4,The director brought Dakota a new collaborator. They both attended film festivals.,Dakota brought the director a new collaborator. They both attended film festivals.,The director introduced Dakota. They both attended film festivals.,N/A,N/A,She skipped all festivals.,He skipped all festivals.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,18,3,2,4,The curator offered Skylar an assistant curator. They both studied art history.,Skylar offered the curator an assistant curator. They both studied art history.,The curator mentored Skylar. They both studied art history.,N/A,N/A,They majored in business.,They majored in business.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,19,3,2,4,The attorney sent Quinn a paralegal. They both worked on corporate law.,Quinn sent the attorney a paralegal. They both worked on corporate law.,The attorney briefed Quinn. They both worked on corporate law.,N/A,N/A,He focused on criminal defense.,She focused on criminal defense.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,20,3,2,4,The consultant gave Parker a junior analyst. They both traveled frequently for work.,Parker gave the consultant a junior analyst. They both traveled frequently for work.,The consultant trained Parker. They both traveled frequently for work.,N/A,N/A,She worked from home exclusively.,He worked from home exclusively.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,21,3,2,4,The president granted Sage a chief advisor. They both negotiated international agreements.,Sage granted the president a chief advisor. They both negotiated international agreements.,The president appointed Sage. They both negotiated international agreements.,N/A,N/A,They avoided diplomatic work.,They avoided diplomatic work.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,22,3,2,4,The coach assigned River a training partner. They both competed at national level.,River assigned the coach a training partner. They both competed at national level.,The coach trained River. They both competed at national level.,N/A,N/A,He only competed locally.,She only competed locally.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,Claude Sonnet 4.5,25,3,2,4,The ambassador sent Finley a diplomatic attaché. They both spoke five languages fluently.,Finley sent the ambassador a diplomatic attaché. They both spoke five languages fluently.,The ambassador assigned Finley. They both spoke five languages fluently.,N/A,N/A,He was monolingual.,She was monolingual.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_ditrans_dobj,GPT-5.2 Thinking,1,3,2,4,The CEO assigned Margaret an assistant at headquarters. They both went to Yale.,Margaret assigned the CEO an assistant at headquarters. They both went to Yale.,The CEO appointed an assistant at headquarters. They both went to Yale.,N/A,N/A,He later introduced the assistant to Margaret.,She later thanked the CEO for the assignment.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
split_reference,split-ref_percep_with,Claude Sonnet 4.5,1,3,2,4,Marcus saw Elena with David at the conference. They both wore name badges.,Elena saw Marcus with David at the conference. They both wore name badges.,Marcus saw Elena at the conference. They both wore name badges.,N/A,N/A,He forgot his badge at home.,She forgot her badge at home.,N/A,N/A,1|1>1|2,1|1>1|3,2|1>2|2,2|1>2|3
